,logFC.Riboseq_sample-RNAseq_sample,AveExpr.Riboseq_sample-RNAseq_sample,t.Riboseq_sample-RNAseq_sample,P.Value.Riboseq_sample-RNAseq_sample,adj.P.Val.Riboseq_sample-RNAseq_sample,B.Riboseq_sample-RNAseq_sample,Symbol.Riboseq_sample-RNAseq_sample
IQGAP3,-1.43547571961135,6.87398170672531,-2.11179015124821,0.0689494459645559,0.19906942760365,-4.65503396287073,IQGAP3
IQSEC1,-0.610801727287236,5.9932441622854,-1.77437762226346,0.115305731258549,0.279121525995061,-5.14412306868386,IQSEC1
IQSEC2,0.917075797678084,4.51337992142194,1.41103678582269,0.197258930526803,0.39553239822757,-5.62699323717942,IQSEC2
IQSEC3,5.23640687481129,0.118964081521176,11.9004877075565,3.08407515097103e-06,0.000148788575427281,5.29932762477761,IQSEC3
IRAIN,-0.0331067867637209,2.32680698615759,-0.114119527653754,0.912056561002869,0.959185249034806,-6.76678374076608,IRAIN
IRAK1,-2.041119972292,7.67894623766002,-3.77677863406693,0.00578428324765605,0.0371994141094242,-2.22851568525094,IRAK1
IRAK1BP1,1.47882563207157,3.81697472771586,2.97669179741789,0.01842790482256,0.0828107560951489,-3.32447596766869,IRAK1BP1
IRAK2,0.70070901715779,2.16308165637071,0.491278847402804,0.636897263896087,0.797434513644741,-6.61233834822664,IRAK2
IRAK3,1.4608327631666,1.46347025443777,1.95940582193574,0.0870689061879603,0.231731878210164,-5.11879365990897,IRAK3
IRAK4,-1.22527299955683,3.48926128808412,-1.81973499768604,0.107669096659897,0.266676977905051,-5.53389931110074,IRAK4
IREB2,-0.317343062938054,7.18049644009214,-0.656672686316701,0.530484923717545,0.718336487514701,-6.54263917296947,IREB2
IRF1,1.49114338875038,3.12341937342706,0.840140375846598,0.42609538991227,0.63228588408047,-6.19255699712026,IRF1
IRF2,1.93881809767669,3.81717828655134,3.7702068723055,0.00583754914415166,0.0374085501574357,-2.11071056011361,IRF2
IRF2BP1,1.30947744451735,6.96919577385623,2.73205317955721,0.0266511437543347,0.10498163535125,-3.97699257055298,IRF2BP1
IRF2BP2,-0.120378001765602,7.67587390472477,-0.31835122850036,0.758664353258524,0.875288594397681,-6.84387795611299,IRF2BP2
IRF2BPL,0.538950715035571,6.66278392217363,1.21869782751207,0.258906458121506,0.468774401707383,-5.96471368591708,IRF2BPL
IRF3,0.497243260041706,5.80247229921215,0.918419650551911,0.386209536051283,0.595942512201965,-6.12657480760434,IRF3
IRF4,4.6023518674797,1.95670065397149,3.68394373782416,0.0065877253202769,0.0405603945810638,-2.27380776580565,IRF4
IRF5,0.511683144688929,3.86752013225647,0.339299275261483,0.743434192584749,0.865921588479745,-6.632288831427,IRF5
IRF6,0.682700856409602,5.2096720928171,0.412730109501886,0.69103425499922,0.834402871847157,-6.47368263875992,IRF6
IRF7,0.891587943189412,2.21205119612457,0.660899752389796,0.527912303163477,0.71570817416665,-6.47704394862638,IRF7
IRF8,0.677842882792239,1.29978568845969,2.81771292673968,0.023407007859822,0.0963601850393642,-3.8543878211176,IRF8
IRF9,-0.367289856810859,2.41679324650764,-0.54569430157313,0.600691881012624,0.771935891635377,-6.66764283444163,IRF9
IRGQ,0.344149874500036,6.89161659192667,1.07643544135012,0.314235459217292,0.528531901376347,-6.22647521981462,IRGQ
IRS1,-1.07208028857287,3.62086604392582,-0.885202395324595,0.402790629745655,0.611221362914261,-6.62103727597024,IRS1
IRS2,1.2594687267653,5.6578353890687,2.83098472947261,0.0229422447696433,0.0952624872775201,-3.55236192318123,IRS2
IRS4,0.422549200056716,10.1483097430745,2.57984700813038,0.0336086346277926,0.122984412609312,-4.88942334418004,IRS4
IRX3,1.9058532068557,5.79546044386838,6.68275736545943,0.000183074311186896,0.00335163511918462,1.28513367264935,IRX3
IRX5,2.37874027733428,2.46519302161881,6.60332724473429,0.000198302803524825,0.00356228884289615,1.24077047102549,IRX5
IRX6,0.14947162419839,1.68872546588699,0.685122013088655,0.513319033443181,0.705169945494456,-6.53484735846163,IRX6
ISCA1,1.12752650065183,4.3832771268226,0.615704992244319,0.555811187137099,0.736662131154957,-6.33577416710338,ISCA1
ISCA2,0.28075621790367,4.28796661304727,0.167434115098227,0.871333403149576,0.937983906002436,-6.62194482888312,ISCA2
ISCU,-0.478785087571978,5.49436484012459,-1.30342137323754,0.229976876903853,0.434501172146442,-5.73964017475242,ISCU
ISG15,2.64082961797608,2.98838119011467,1.37698765957702,0.207142238701422,0.407254571796105,-5.57911425779437,ISG15
ISG20,0.991531232549522,2.19309076373141,0.924566730736136,0.383196728961264,0.593551954284393,-6.21527892415916,ISG20
ISG20L2,0.715316005401902,5.36737389257314,0.479406095523315,0.644942532404063,0.803116024683063,-6.4518216228781,ISG20L2
ISL1,2.8030688185603,3.59241488100898,4.23342379848352,0.00310701218895869,0.0243977413313713,-1.43404192190119,ISL1
ISL2,-0.469689436001572,4.57382359657037,-1.21164766192306,0.261445604757837,0.47189099707605,-6.0638638230221,ISL2
ISM1,0.868936944306087,2.07691907364778,1.41151028258698,0.197124459977602,0.395482661359793,-5.84707480224985,ISM1
ISM2,3.08278764519161,2.56054424441001,1.91667325297665,0.0929313601408668,0.241886479616024,-4.85034857330242,ISM2
ISOC1,-2.74413450686733,5.317717675637,-2.57327449095996,0.0339480476565425,0.123838071968098,-4.33757115329669,ISOC1
ISOC2,0.17314300591251,4.17490774558192,0.164100200081224,0.873869306603664,0.939171863191615,-6.83252893071944,ISOC2
IST1,-0.653495558950095,6.36041880075577,-1.00780530192644,0.344104041421933,0.556063708457155,-6.0719257320664,IST1
ISY1,-1.8018984841166,3.02888969458085,-7.1557767342253,0.000115376465817299,0.00240854633779238,1.64416301262807,ISY1
ISYNA1,0.718559842776117,7.3652661242788,1.86114716334172,0.101118515016365,0.255318498006489,-5.42016037980307,ISYNA1
ITCH,-3.97998631698134,4.2673778918315,-5.41429013959372,0.000717625905240219,0.00872093823343737,-0.639822371481678,ITCH
ITFG1,-0.348227103174622,5.09488209349655,-1.07880524317197,0.313241719596152,0.527575364938404,-6.10047454852452,ITFG1
ITFG2,-0.686945177289865,3.35201678804863,-2.48293374855772,0.0389845318658549,0.135800983377193,-4.38272028568955,ITFG2
ITGA1,-1.75653897150242,3.79172536478056,-1.36734124122856,0.210019777039556,0.410928833733787,-6.07685522015466,ITGA1
ITGA2,-0.952484145447671,4.798202849096,-2.25419738905335,0.0553986386392478,0.172783862134302,-4.65664570316511,ITGA2
ITGA2B,-0.21019421353762,1.93392221941248,-0.885604430843693,0.402586910693461,0.611103460670648,-6.34995894868004,ITGA2B
ITGA3,-1.67811449041936,3.68607303159687,-3.35834514823331,0.0104945918341183,0.0560268272417306,-3.14015757505358,ITGA3
ITGA4,0.924066569420401,4.55298203158052,0.508278837610975,0.625467062716507,0.790131593195493,-6.4119845549622,ITGA4
ITGA5,1.18241805433979,6.41790641787352,3.24177287529805,0.0124408312355539,0.0632343166218693,-3.0777035776056,ITGA5
