,Riboseq_control_1,Riboseq_control_2,RNAseq_control_1,RNAseq_control_2,RNAseq_control_3,Riboseq_sample_1,Riboseq_sample_2,RNAseq_sample_1,RNAseq_sample_2,RNAseq_sample_3
C1orf35,16.4512322960064,20.6075801549003,190.315067474229,182.263080983195,119.995795188664,17.9022612277302,53.9773752179405,129.503633136048,119.424047096011,141.219212821446
C1orf43,7.2385422102428,11.2404982663093,379.788371481543,393.009440823895,338.996385581199,13.7709701751771,57.2821124761818,353.88040141076,358.643889294559,323.041572271345
C1orf50,0,0,16.2230777259898,13.6061857009604,11.4045590468565,0,2.20315817216084,15.1508428738552,19.5167703425388,14.0589706672167
C1orf52,0.658049291840255,9.99155401449712,86.5485891891247,82.1604290404148,59.9978975943322,18.590809736489,26.9886876089703,70.3431990571847,78.7176403815733,66.7276518235062
C1orf54,0,0,4.89753289841201,3.13988900791394,2.64453543115514,0,0,3.9680778955335,7.80670813701553,7.13440302515475
C1orf56,0,0,8.41763466914563,7.40116694722572,6.61133857788785,3.44274254379427,0,4.96009736941687,4.83272408481914,7.76390917443311
C1orf74,1.97414787552076,0,15.916981919839,14.4285375839855,23.4702519515019,0,0,12.806069571949,15.9851642805556,12.9048760602064
C2,0,0,8.6472065237587,9.49442628583501,2.47925196670794,0,0,6.49321837450936,8.08551914190895,3.88195458721656
C20orf194,0,0,18.8248920782711,22.4277786279567,22.4785511648187,0,4.68171111584178,26.1532406751071,20.9108253670059,15.213065274227
C20orf204,0,0,6.58105983224113,4.48555572559134,5.45435432675748,0,0,4.23862866113805,3.62454306361436,4.51146073649492
C20orf27,22.3736759225687,9.36708188859105,55.3268169617481,68.9280396499203,53.7171259453388,42.6900075430489,58.1082967907421,40.7629820177532,42.3792727437986,52.9834342309287
C20orf96,0,3.12236062953035,27.7016704566429,31.1746122928598,24.6272362026322,4.13129105255312,0.55078954304021,26.5139750292465,23.3271874094155,14.2688060503095
C21orf58,4.60634504288178,0,65.6575504193359,67.8066507185225,70.2454723900584,9.63967912262395,5.5078954304021,71.966503650812,77.6953333636308,61.062096480001
C21orf91,2.63219716736102,5.62024913315463,25.4059519105123,21.2316304344657,48.4280550830285,0,2.20315817216084,53.9297859438416,56.5986339933626,56.0260472857741
C22orf23,0,0.62447212590607,34.8949219011855,34.015464252401,35.5359448561472,0,3.30473725824126,39.8611461324047,39.6840996964956,41.5474058523718
C22orf39,0,2.49788850362428,44.077796085708,49.9391870782503,48.2627716185813,0.688548508758853,3.85552680128147,39.5004117782653,38.7547296801843,40.6031466284542
C22orf46,0,1.87341637771821,134.069963094029,122.82946761911,103.302165279498,2.75419403503541,6.60947451648251,133.742261797186,112.082023967152,84.8784124610323
C2CD2,5.26439433472204,21.2320522808064,39.8689787511352,40.8185571028812,47.2710708318981,8.60685635948567,3.30473725824126,43.0175717311245,38.8476666818154,33.1539905286603
C2CD2L,5.26439433472204,0,19.2840357874973,17.0451117572471,14.5449448713533,4.13129105255312,5.5078954304021,18.4876356496447,21.654321380055,18.0458429459797
C2CD3,5.92244362656229,0.62447212590607,32.1400596458288,27.5861677123868,23.8008188803963,0,0,31.6544395757331,25.8364864534562,24.7605752049488
C2CD4A,0.987073937760382,0,2.90791015843213,2.69133343535481,1.65283464447196,0,3.85552680128147,1.98403894776675,3.90335406850777,4.61637842804131
C2CD4C,0,0,5.28015265610044,4.7845927739641,4.4626535400743,0,0,5.95211684330024,3.62454306361436,7.65899148288672
C2CD5,3.29024645920127,1.24894425181214,56.5512001863511,46.275983235684,63.6341338121706,3.44274254379427,2.20315817216084,82.6081670979246,76.1154043359015,69.6653471868052
C2orf15,0,0,6.12191612301501,5.08362982233686,6.61133857788785,0,0,6.49321837450936,7.43496013049099,6.19014380123721
C2orf27A,6.58049291840255,9.36708188859105,9.79506579682401,7.02737063675977,12.8921102268813,9.63967912262395,0,6.13248402036995,10.130133177794,9.12783916453623
C2orf42,0.658049291840255,2.49788850362428,13.6212633737084,15.2508894670106,15.5366456580364,0,2.20315817216084,17.675983352831,15.0557942642442,15.8425714235054
C2orf49,0,6.86919338496677,55.7094367194366,43.8089275866088,58.3450629498603,5.50838807007083,1.65236862912063,51.6751962304703,50.093043879183,48.5768911859801
C2orf68,8.55464079392331,6.86919338496677,107.822247716602,125.969356627024,89.4183542659332,0,0,96.406256143757,84.8514824892284,74.8063140725785
C2orf69,0,3.74683275543642,33.3644428704318,29.5299085268097,66.9398031011145,4.13129105255312,11.0157908608042,46.1739973298443,47.9554928416669,58.8588249575267
C2orf72,0,0,18.136176514432,18.7645747853905,24.7925196670794,2.75419403503541,4.40631634432168,19.4796551235281,23.1413134061532,23.2917275232993
C2orf74,0,0,13.9273591798591,14.8023338944514,18.511748018086,0,2.20315817216084,21.8244284254342,20.5390773604813,10.2819337715466
C2orf76,0,8.74260976268498,10.0246376514371,10.1672596446737,18.3464645536388,0,0,13.7980890458324,13.2899912332526,21.4032090754643
C2orf81,0,0,3.29052991612057,2.99037048372756,0.826417322235981,0,3.30473725824126,2.61532406751071,3.53160606198322,3.04261305484541
