,logFC.Riboseq_sample-Riboseq_control,AveExpr.Riboseq_sample-Riboseq_control,t.Riboseq_sample-Riboseq_control,P.Value.Riboseq_sample-Riboseq_control,adj.P.Val.Riboseq_sample-Riboseq_control,B.Riboseq_sample-Riboseq_control,Symbol.Riboseq_sample-Riboseq_control
MMP15,-0.279409285668342,7.04348148873581,-0.626818908387362,0.548870693095102,0.73411773276744,-6.14190501063301,MMP15
MMP16,-1.8997521242226,4.24082586906808,-1.48521540272668,0.17715554862471,0.48445584261689,-5.50095184206388,MMP16
MMP2,1.15540252542767,2.75335664381439,0.837506628964035,0.427486333895107,0.655958951298393,-6.318686983589,MMP2
MMP24,-1.24051561374207,2.2098996790377,-2.5577097935429,0.0347658816075903,0.237081784710601,-3.96504627070493,MMP24
MMP24OS,1.5542120493314,2.55421201549184,1.65422938863848,0.13806975551699,0.429143767147723,-5.55934676084549,MMP24OS
MMP25,-0.11727901967834,1.83255310833794,-1.05400982394713,0.323762999520275,0.607912164071706,-6.85813441115578,MMP25
MMP25-AS1,-0.11727901967834,1.49607499742141,-1.0532022337557,0.324110291565572,0.607912164071706,-6.85897144659437,MMP25-AS1
MMP28,-0.269792246022839,1.08269515592168,-0.346807843630091,0.738004020627437,0.85511301974827,-7.27008088396744,MMP28
MMS19,-0.724736481978317,5.79537940281579,-1.39928196864857,0.200623186055025,0.514975990939799,-5.24837794371732,MMS19
MMS22L,-0.546797570550533,5.69797883986539,-0.678808822875396,0.517098078390581,0.711412597653613,-6.05946280053536,MMS22L
MMUT,-0.718949651416506,5.8079295789655,-0.881486233960824,0.404677199711482,0.641762159832688,-5.80822901997498,MMUT
MN1,-0.11727901967834,1.84764598093543,-1.1568148172469,0.281905797104889,0.603159941394158,-6.74777302613677,MN1
MNAT1,-0.270047052622246,5.9553761890681,-0.506656480341122,0.626553278891773,0.78448320875044,-6.06213193300232,MNAT1
MND1,-0.68675621223507,2.23003579326824,-0.935739382344116,0.37776524037043,0.628428974645245,-6.8610133037227,MND1
MNS1,0.884556702622322,2.92005404472151,1.52065183628454,0.168213971001339,0.472538759823626,-6.01061259123927,MNS1
MNT,-0.113841434314582,5.48038365710011,-0.153344255640386,0.882061185295133,0.940617476002239,-6.33878047964091,MNT
MNX1,0.180309310968361,4.78686761434594,0.163029885684588,0.874683761467551,0.936865356057511,-6.3849037395658,MNX1
MNX1-AS1,0.587449856355478,1.7662592775802,1.3757952291802,0.207496070605715,0.523235849757149,-6.31514887607989,MNX1-AS1
MOAP1,-2.34179012332755,5.47585003895092,-3.30158536511213,0.0113984836273666,0.129657416672623,-2.68026656057806,MOAP1
MOB1A,1.02977312132183,6.70389944952024,1.47525261987252,0.179745020501342,0.488658484872192,-5.27747608990289,MOB1A
MOB1B,-1.31884895186776,4.0566015655471,-2.19412004994957,0.0607588733108983,0.28028357771337,-5.31938753059915,MOB1B
MOB2,1.2890602254168,3.13951062016912,2.52660083448763,0.0364613340787713,0.239614917579169,-4.627324224498,MOB2
MOB3A,-2.78587920301493,3.46921637862056,-2.69677628676253,0.0281191806055692,0.214273206674768,-3.76939331837023,MOB3A
MOB3B,-2.0845908593423,3.10147039182953,-2.32082172123051,0.0500047908817412,0.26986344054339,-4.86774999305939,MOB3B
MOB3C,-1.01897755570587,1.91357426837745,-2.07790849938919,0.0726282577764288,0.298852863673657,-5.51367338489585,MOB3C
MOB4,-0.728484954676921,2.65825790030372,-1.05659795366312,0.322651978676261,0.607912164071706,-5.65640429700913,MOB4
MOCOS,-0.633013091697686,4.61636845085677,-1.13147132365799,0.291795468479093,0.606342982823083,-5.71037441260577,MOCOS
MOCS1,0.920337360911416,3.81475277273082,0.627595883997866,0.548387413300313,0.733743478049997,-6.61863160859693,MOCS1
MOCS2,2.05815035824295,5.33071416254745,1.18589532432926,0.270896682766778,0.595229954137208,-5.74519164172116,MOCS2
MOCS3,0.677169612477188,3.48836099674779,1.3735632220488,0.208159794537248,0.523940854336032,-6.28135763426331,MOCS3
MOGS,0.178336869056718,7.46483579678601,0.3508576817859,0.73508169261828,0.853902095421784,-6.37754922229985,MOGS
MOK,-1.76913135682819,3.42563982396443,-2.08503150319404,0.0718391761875551,0.29838183602231,-4.93858270092279,MOK
MON1A,1.6098058969859,2.38853195478953,6.75812519822261,0.000169817015780008,0.00470006154097373,1.22264960776141,MON1A
MON1B,0.191003678036583,5.92938373705105,0.464717970073578,0.654965198869592,0.80345888202176,-6.16981171152779,MON1B
MON2,0.127157240382656,5.86370523836474,0.150108871716424,0.884528325989737,0.941753238757952,-6.26653159514646,MON2
MORC2,0.391366872510186,6.01372671032038,0.491328779923144,0.636863536000274,0.789783055949446,-6.12142130758631,MORC2
MORC3,0.357164207748183,5.17931181284797,0.644100606905005,0.53818150798007,0.726410328128696,-6.12001946257654,MORC3
MORC4,-0.313718259251588,6.26889012433956,-0.682658966587248,0.514791338662864,0.710164672193786,-5.96179032141572,MORC4
MORF4L1,0.0840826810675823,7.61115529631261,0.111836900378183,0.913807267317521,0.957761376956713,-6.3807349813263,MORF4L1
MORF4L2,0.900945370915315,8.39278914699725,2.30009871532598,0.0516235956885046,0.270707748086742,-4.21764568411932,MORF4L2
MORF4L2-AS1,-1.01897755570587,1.8358969883839,-2.09581909848551,0.0706601426009036,0.297618357044911,-5.48682718482941,MORF4L2-AS1
MORN1,0.387361689389271,2.49209872958833,0.509068669073577,0.624938601239066,0.783141284238861,-7.09306055837943,MORN1
MORN2,-0.981206274394951,4.28863704524678,-1.42548352071875,0.193192309650407,0.504946379182302,-5.4871137293491,MORN2
MORN3,-0.997102877763894,1.62102733727297,-2.21985245695949,0.0584025011005609,0.27748882686943,-5.29932494479037,MORN3
MORN4,-0.299945659454826,3.968112035993,-0.217144409897955,0.833727385043175,0.913036557033693,-6.88000330989947,MORN4
MOSMO,1.86078029442152,3.88641295077869,5.26814694596012,0.000851133617994387,0.0170759421968971,-0.40952437042209,MOSMO
MOSPD1,-0.11727901967834,3.33827734199603,-0.933255002689588,0.378968043793382,0.628601778574785,-6.97779669260609,MOSPD1
MOSPD2,-3.1415446439649,4.11573893378809,-5.72459487847206,0.000504300288199086,0.0111743957868999,0.240900017477043,MOSPD2
MOSPD3,-0.699998303956411,3.28958343452466,-1.59889417843694,0.149900064864032,0.446730089153935,-5.10414353955398,MOSPD3
MOV10,0.0748238693660834,6.54683228549382,0.139198003309098,0.892858191956995,0.946445995754711,-6.23049720102968,MOV10
MOXD1,-0.517115157069596,6.29571174935375,-0.841475699243674,0.425391389475546,0.654383838080186,-5.82707931319368,MOXD1
MPC1,0.142813145455466,5.72458550636962,0.289998373897754,0.779457941179388,0.879664775301408,-6.17277249711632,MPC1
MPC2,-0.0336300323753571,6.51596875404254,-0.0402774215445552,0.968894601405757,0.987516257738437,-6.20415905488076,MPC2
MPDU1,-1.68741016811213,4.85589893300379,-1.76766650073862,0.116478244089241,0.391800667796086,-5.26506678658821,MPDU1
MPDZ,0.296295724282934,5.96622776458931,0.705152186559163,0.501444305657074,0.701652353196556,-6.00700884608696,MPDZ
MPG,1.20023028324164,4.32186724717786,1.7410703825202,0.121236275614199,0.401170782082279,-5.02332595202451,MPG
MPHOSPH10,0.458861787395429,5.65384419188018,1.1861193372883,0.270813269565189,0.595229954137208,-5.70177377799991,MPHOSPH10
MPHOSPH6,-0.741698577458851,4.58869101076961,-0.50261747675169,0.629261748691094,0.785634983997231,-6.71400940532795,MPHOSPH6
MPHOSPH8,0.508746343915384,6.33358481917043,1.16305193572425,0.279514248679283,0.60221590449186,-5.61784887238506,MPHOSPH8
MPHOSPH9,-0.00590266210525847,5.15686218015674,-0.00668650368362476,0.994834621369815,0.998156041820935,-6.54697108040002,MPHOSPH9
MPI,-0.413411163831765,6.48267071753188,-0.942487691174731,0.374512369626459,0.626661773290996,-5.74197293758229,MPI
MPIG6B,-0.11727901967834,1.36456679789023,-0.900230935312951,0.395225947125327,0.637840008442589,-7.00852003790857,MPIG6B
MPLKIP,1.62417139199794,6.46713044244612,4.34024875119976,0.00269858518825559,0.0433969803128059,-1.28243681052057,MPLKIP
MPND,-1.09292778411037,3.86142741158544,-2.42944378348753,0.0423187682532231,0.257464458900356,-4.27616859816953,MPND
MPP1,0.442278633192908,5.89712956268625,1.00747619944389,0.34425238268006,0.614398310119869,-5.74161995115684,MPP1
MPP2,-0.586864947944404,4.91561943652484,-0.448081481741098,0.666408402917839,0.810776957130686,-6.45474231963829,MPP2
MPP3,-1.15054350342134,4.11909151771032,-2.01529894886305,0.0799394233230249,0.312415654682914,-4.75841751485804,MPP3
MPP5,2.91905157587682,4.41342003222782,5.59463493198644,0.000583690635280649,0.0126043973262326,0.152755171229826,MPP5
MPP6,0.594671543010548,5.06357425272506,1.06475219876504,0.319171125466757,0.607912164071706,-5.97510360459299,MPP6
MPP7,-0.281809688657043,4.08180429464891,-0.480406913274131,0.644262396994491,0.795538869769348,-6.35381896794872,MPP7
MPPE1,0.761405769922274,2.71073224484975,1.45488592693857,0.185143975915139,0.494861531211258,-6.14483407892958,MPPE1
