,logFC.RNAseq_sample-RNAseq_control,AveExpr.RNAseq_sample-RNAseq_control,t.RNAseq_sample-RNAseq_control,P.Value.RNAseq_sample-RNAseq_control,adj.P.Val.RNAseq_sample-RNAseq_control,B.RNAseq_sample-RNAseq_control,Symbol.RNAseq_sample-RNAseq_control
THOC1,0.367459206023425,4.1374897098765,1.08214737004889,0.30791738157771,0.883393130078055,-5.39990374536057,THOC1
THOC2,0.241419450724111,6.26798065193006,1.07941759541212,0.309066980981561,0.884600613306381,-5.92989622290064,THOC2
THOC3,-0.110446302016732,5.02000303433904,-0.38706303161516,0.707893852088757,0.998046579510442,-6.24542027149287,THOC3
THOC5,-0.323774338974278,4.3722057718242,-1.42653031102492,0.188179072516548,0.78175038213713,-5.04751176110632,THOC5
THOC6,-0.571255202641005,3.14237066314172,-1.38559549419912,0.199941381276431,0.794437512965353,-4.72171480288491,THOC6
THOC7,-1.18619421914983,2.94205950878202,-1.8349723484325,0.100421954021392,0.670082245047107,-4.22170310195266,THOC7
THOP1,-0.745283175808345,5.99691102085275,-2.60450307928158,0.029018139810342,0.48482615129279,-3.66298939351167,THOP1
THRA,-0.197535307180129,4.66653677457393,-0.629351214007447,0.545092043774056,0.984815721043679,-6.01420078334965,THRA
THRAP3,0.296900897620868,7.40220910170758,1.89846371751843,0.0908158694311391,0.647805656386407,-5.06440838984684,THRAP3
THRB,0.154490801595621,1.78174791690141,0.141846060028218,0.890392441791182,0.999969548839946,-5.48735588631672,THRB
THSD1,0.029693871205935,1.72037234916583,0.0375319640898428,0.970897577004906,1,-5.66825278005526,THSD1
THSD4,0.803644552103895,2.78662464567878,0.807817676100819,0.440462340613372,0.953908427297031,-5.36485652821262,THSD4
THTPA,-0.530694809539529,3.97668003365171,-1.74163046130183,0.116281659997651,0.695987492193849,-4.52061626568207,THTPA
THUMPD1,1.10427216682208,4.06864142809708,2.27661576788819,0.0494375935299851,0.553497181170761,-3.95633793364219,THUMPD1
THUMPD2,0.580979251436213,4.0714606986321,1.19408944634059,0.263603781774804,0.855727337571093,-5.25866520422848,THUMPD2
THUMPD3,-0.101833603133628,5.04683856429971,-0.551910915555428,0.594730938791637,0.996141074883198,-6.05725049578634,THUMPD3
THUMPD3-AS1,-0.038735088336959,3.52314872633287,-0.0875231396835343,0.932212851851819,0.999969548839946,-6.1635812601437,THUMPD3-AS1
THYN1,0.54460727850938,2.68929271025069,1.13791211996793,0.285157578657969,0.866466502622116,-4.96046593170407,THYN1
